ID	Map Area	EN Name	JP Name	Theme	Dungeons	Paths
0	A	Road of Encounter		Greenery		
1	A	Calm Path		Greenery		
2	A	Empty Passage		Grassy with Dead Trees		
3	A	Road of Farewell		Overgrown		
4	A	Road of Reunion		Greenery		
5	A	Sunwishing Plaza		Sandy with Dead Trees		
6	B	Solar Tree	太陽樹	Sandy		
7	B	Hill of Departure		Greenery with Dead Trees		
8	B	Young Grass Path		Greenery		
9	B	Deserted Road		Grassy with Dead Trees		
10	B	Southwind Passage		Sandy with Dead Trees		
11	B	Frostbitten Path		Cemetary		
12	B	Field of Silence		Greenery		
13	B	Withered Course		Cemetary		
14	B	Byroad of the Beasts		Greenery		
15	B	Baking Hill		Tall Dead Trees with Cliff		
16	B	Rejected Road		Overgrown		
17	B	Sealed Hill		Sandy with Rocks		
18	B	Solitude Trijunction		Cemetary		
19	B	Severe Cold Hill		Bog with Snow		
20	B	Blocked Road		Cemetary		
21	C	Wasteland of Chaos		Sandy with Dead Trees		
22	C	Dead Grassfield		Cemetary		
23	C	Northwind Passage		Grassy with Dead Trees		
24	C	Ancient Battlefield		Sandy with Dead Trees		
25	C	Road with no Road		Bog with Snow		
26	C	Intersection of Fate		Greenery with Pond		
27	C	Skyview Plaza		Overgrown		
28	D	Taboo Hill		Cemetary		
29	D	Shadowhiding Passage		Grassy with Dead Trees		
30	D	Field of the End		Cliffside		
31	D	Cursed Road		Sandy with Dead Trees		
32	D	Door to Darkness		Cemetary		